==========================================================================================
PRICE JUMP PAIR ANALYSIS - ATR + CUSUM + MOMENTUM STRATEGY
==========================================================================================

Configuration:
  Data Directory: /data/quant14/EBY
  Number of Days Processed: 279
  Price Column: Price
  Volatility Feature: PB9_T1
  Price Jump Threshold (Main): ±0.2
  Price Jump Threshold (Addl): ±0.25, ±0.30

Strategy Parameters:
  ATR Window: 20 bars
  ATR Stagnant Threshold: 0.01
  CUSUM Drift: 0.005
  CUSUM Decay: 0.7
  CUSUM EWM Span: 180
  Momentum Window: 10
  Momentum Avg Window: 50
  Momentum Threshold: 0.0

Trading Rules:
  Start Delay: 600.0s (10 min)
  Min Hold: 15.0s
  Min Cooldown: 15.0s
  EOD Square-off: Enabled
==========================================================================================

CATEGORY A: ATR < 0.01 (Always Stagnant)
==========================================================================================
Number of days: 103

Day | P(0.20) | P(0.25) | P(0.30) | T(0.20) | T(0.25) | T(0.30) | Trades | ATR Max  | Price Min | Price Max
----|---------|---------|---------|--------|--------|--------|--------|----------|-----------|----------
  3 |       4 |       3 |       3 | 4754.0 | 6323.3 | 6155.3 |      0 | 0.006817 |     99.27 |     99.98
  8 |       1 |       1 |       1 | 2398.0 | 11986.0 | 11927.0 |      0 | 0.005300 |     99.76 |    100.08
 11 |       3 |       3 |       2 | 5430.7 | 5401.3 | 7419.5 |      0 | 0.006479 |    100.00 |    100.54
 12 |       8 |       6 |       5 | 2584.9 | 3532.0 | 3926.0 |      0 | 0.009277 |     99.51 |    100.38
 13 |      12 |       6 |       5 | 1746.2 | 3448.3 | 4240.8 |      0 | 0.009536 |     99.77 |    101.17
 15 |       6 |       7 |       3 | 3150.0 | 2705.0 | 7021.3 |      0 | 0.008207 |    100.01 |    100.91
 16 |       3 |       2 |       1 | 6363.0 | 7279.0 | 16546.0 |      0 | 0.006823 |     99.82 |    100.34
 21 |      10 |       4 |       4 | 2196.1 | 5034.5 | 5102.0 |      0 | 0.007206 |     99.45 |    100.44
 23 |       4 |       3 |       2 | 4986.8 | 6285.0 | 7177.5 |      0 | 0.007975 |     99.28 |    100.07
 26 |       3 |       2 |       2 | 5977.7 | 4805.0 | 4805.5 |      0 | 0.008575 |     99.95 |    100.33
 27 |       3 |       2 |       1 | 7125.3 | 9112.0 | 14719.0 |      0 | 0.006171 |     99.83 |    100.30
 32 |       3 |       2 |       0 | 6459.7 | 8756.5 |    0.0 |      0 | 0.008721 |     99.94 |    100.24
 34 |       6 |       6 |       3 | 3538.5 | 3555.2 | 7015.7 |      0 | 0.007029 |     99.72 |    100.51
 36 |       4 |       2 |       2 | 5506.0 | 3702.5 | 9477.5 |      0 | 0.006413 |     99.38 |    100.05
 39 |       5 |       4 |       2 | 4131.4 | 5162.0 | 10307.0 |      0 | 0.008098 |     99.43 |    100.05
 41 |      13 |       5 |       4 | 1573.4 | 4025.6 | 4015.8 |      0 | 0.009278 |     99.32 |    100.26
 44 |       5 |       4 |       4 | 4131.2 | 3479.2 | 3330.2 |      0 | 0.006536 |     99.72 |    100.39
