==============================================================================================================
PB9_ADX (80–90) — AUTO-OPTIMIZED THRESHOLD FOR LEAST MISSED FLUCTUATIONS (≥ 0.3)
==============================================================================================================

Data Directory: /data/quant14/EBY
ADX Window: 600
Threshold Range: 7–8 step=0.1
Days Processed: 279 / 279

==============================================================================================================
SECTION A — Days where ADX reached ≥ Best Threshold
==============================================================================================================
Day | Best Thresh | ADX Hit @Index | ADX Value | Considered | Missed | Total | Price Min | Price Max
----|--------------|----------------|------------|-------------|--------|--------|-----------|----------
  0 |         7.00 |           1143 |      7.002 |           7 |      0 |      7 |     99.50 |    100.47
  1 |         7.00 |           2217 |      7.005 |           7 |      0 |      7 |     99.67 |    100.78
  2 |         7.00 |           1857 |      7.003 |           5 |      1 |      6 |     99.35 |    100.37
  3 |         7.00 |           1952 |      7.014 |           3 |      0 |      3 |     99.27 |     99.98
  4 |         7.00 |           3044 |      7.006 |           1 |      0 |      1 |     99.85 |    100.30
  5 |         7.00 |           1144 |      7.001 |           6 |      0 |      6 |     99.37 |    100.24
  6 |         7.00 |           1244 |      7.001 |          12 |      0 |     12 |     98.91 |    100.59
  7 |         7.00 |           2191 |      7.007 |           7 |      1 |      8 |     99.87 |    100.99
  8 |         7.00 |          10246 |      7.003 |           1 |      0 |      1 |     99.76 |    100.08
  9 |         7.00 |           2042 |      7.003 |           4 |      0 |      4 |     99.45 |    100.20
 10 |         7.00 |           2925 |      7.002 |           4 |      7 |     11 |     98.72 |    100.40
 11 |         7.00 |           5458 |      7.016 |           1 |      1 |      2 |    100.00 |    100.54
 12 |         7.00 |           2043 |      7.002 |           4 |      1 |      5 |     99.51 |    100.38
 13 |         7.00 |           5645 |      7.017 |           5 |      0 |      5 |     99.77 |    101.17
 14 |         7.00 |           2101 |      7.001 |           3 |      2 |      5 |     99.08 |    100.12
 15 |         7.00 |           7894 |      7.004 |           2 |      1 |      3 |    100.01 |    100.91
 16 |         7.00 |          12403 |      7.008 |           1 |      0 |      1 |     99.82 |    100.34
 17 |         7.00 |          16288 |      7.007 |           0 |      2 |      2 |     99.70 |    100.25
 18 |         7.00 |           2245 |      7.004 |           4 |      3 |      7 |     98.92 |    100.14
 19 |         7.00 |           2355 |      7.001 |           7 |      2 |      9 |     98.26 |     99.96
 20 |         7.00 |           4044 |      7.008 |           9 |      3 |     12 |     98.80 |    100.01
 21 |         7.00 |           1708 |      7.012 |           4 |      0 |      4 |     99.45 |    100.44
 22 |         7.00 |            980 |      7.001 |          15 |      1 |     16 |     99.90 |    102.22
 23 |         7.00 |          11144 |      7.009 |           1 |      1 |      2 |     99.28 |    100.07
 24 |         7.00 |           2652 |      7.002 |           5 |      1 |      6 |     99.98 |    101.05
 25 |         7.00 |           1104 |      7.019 |           9 |      1 |     10 |     99.09 |    100.80
 26 |         7.00 |          11255 |      7.007 |           0 |      2 |      2 |     99.95 |    100.33
 27 |         7.00 |           3674 |      7.003 |           1 |      0 |      1 |     99.83 |    100.30
 28 |         7.00 |           4998 |      7.000 |           2 |      2 |      4 |     99.29 |    100.13
 29 |         7.00 |           2072 |      7.007 |           2 |      0 |      2 |     99.45 |    100.17
 30 |         7.00 |           3357 |      7.015 |           5 |      1 |      6 |     99.54 |    100.78
 31 |         7.00 |            941 |      7.018 |           6 |      0 |      6 |     99.83 |    101.08
 33 |         7.00 |           2551 |      7.001 |           3 |      0 |      3 |     99.79 |    100.72
 34 |         7.00 |           2626 |      7.003 |           3 |      0 |      3 |     99.72 |    100.51
 35 |         7.00 |           1904 |      7.000 |           3 |      0 |      3 |     99.74 |    100.37
 36 |         7.00 |           1188 |      7.005 |           2 |      0 |      2 |     99.38 |    100.05
 37 |         7.00 |           6892 |      7.003 |           1 |      2 |      3 |     99.76 |    100.32
 38 |         7.00 |           5139 |      7.009 |           5 |      3 |      8 |     98.50 |    100.08
 39 |         7.00 |           6044 |      7.001 |           1 |      1 |      2 |     99.43 |    100.05
 40 |         7.00 |           3927 |      7.008 |           7 |      0 |      7 |     99.76 |    100.87
 41 |         7.00 |           1365 |      7.011 |           4 |      0 |      4 |     99.32 |    100.26
 42 |         7.00 |           4111 |      7.015 |           4 |      2 |      6 |     98.85 |    100.00
 43 |         7.00 |           1273 |      7.004 |           6 |      1 |      7 |     98.86 |    100.58
 44 |         7.00 |          10007 |      7.003 |           2 |      2 |      4 |     99.72 |    100.39
 45 |         7.00 |           6270 |      7.005 |           2 |      1 |      3 |    100.01 |    100.63
 46 |         7.00 |           5182 |      7.001 |           2 |      0 |      2 |     99.63 |    100.20
 47 |         7.00 |           1107 |      7.004 |           3 |      0 |      3 |     99.07 |    100.02
 48 |         7.00 |          21831 |      7.001 |           0 |      3 |      3 |     99.83 |    100.48
 49 |         7.00 |           5139 |      7.016 |           2 |      1 |      3 |     98.84 |    100.02
 50 |         7.00 |           5084 |      7.014 |           6 |      3 |      9 |     99.92 |    102.13
 51 |         7.00 |           1252 |      7.009 |           2 |      0 |      2 |     99.85 |    100.52
 52 |         7.00 |          11038 |      7.014 |           1 |      1 |      2 |     99.94 |    100.49
 53 |         7.00 |           1148 |      7.006 |           4 |      0 |      4 |     99.91 |    100.67
 54 |         7.00 |           2037 |      7.007 |           5 |      1 |      6 |     99.96 |    100.92
 55 |         7.00 |           3568 |      7.001 |           1 |      1 |      2 |     99.97 |    100.34
 56 |         7.00 |           1003 |      7.000 |          10 |      1 |     11 |     99.07 |    100.49
 57 |         7.00 |           4230 |      7.005 |           5 |      1 |      6 |     99.41 |    100.08
 58 |         7.00 |           3770 |      7.004 |           8 |      4 |     12 |     99.33 |    100.29
 59 |         7.00 |           2575 |      7.011 |           1 |      1 |      2 |     99.78 |    100.42
 60 |         7.00 |           8458 |      7.003 |           2 |      0 |      2 |     99.79 |    100.26
 61 |         7.00 |           4117 |      7.001 |          14 |      6 |     20 |     99.71 |    100.92
 62 |         7.00 |           6535 |      7.006 |           3 |      0 |      3 |     99.14 |    100.26
 63 |         7.00 |           2161 |      7.003 |           4 |      1 |      5 |     99.95 |    101.06
 64 |         7.00 |           1827 |      7.002 |           1 |      2 |      3 |     99.63 |    100.18
 65 |         7.00 |          13880 |      7.010 |           0 |      1 |      1 |     99.98 |    100.48
 66 |         7.00 |           2775 |      7.000 |           1 |      0 |      1 |     99.87 |    100.25
