====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
====================================================================================================

ATR Window: 600 | ATR Threshold: 0.01
Min Trade Duration: 15s | Cooldown: 15s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where ATR ≥ Threshold (Active Regime)
====================================================================================================
Day | ATR @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
----|-------------|------------|-------------|--------|--------|-----------|----------
 17 |           0 |    0.03686 |           6 |      0 |      6 |     99.15 |    100.52
  3 |           0 |    0.01601 |           2 |      0 |      2 |     99.99 |    100.63
 18 |           0 |    0.01128 |           2 |      0 |      2 |     99.78 |    100.30
  2 |           0 |    0.02258 |           2 |      0 |      2 |     99.66 |    100.25
 14 |           0 |    0.01141 |           7 |      0 |      7 |     97.98 |    100.10
  7 |           0 |    0.01014 |           3 |      0 |      3 |     99.71 |    100.15
  4 |           0 |    0.02329 |           3 |      0 |      3 |     98.98 |    100.10
  5 |           1 |    0.01032 |          15 |      0 |     15 |     99.89 |    102.43
 22 |           2 |    0.01187 |           6 |      0 |      6 |     99.27 |    100.23
 28 |           1 |    0.01250 |          10 |      0 |     10 |     99.90 |    101.37
 33 |           0 |    0.01564 |          25 |      0 |     25 |     99.07 |    100.82
 36 |           0 |    0.01145 |          55 |      0 |     55 |     99.24 |    102.32
 48 |           0 |    0.01286 |           3 |      0 |      3 |     99.78 |    100.26
 32 |           0 |    0.02041 |          10 |      0 |     10 |     99.54 |    100.46
 64 |           0 |    0.01050 |           1 |      0 |      1 |     99.82 |    100.14
 51 |       22416 |    0.01001 |           3 |     10 |     13 |     99.35 |    100.73
 38 |           0 |    0.01907 |           4 |      0 |      4 |     99.37 |    100.24
 53 |           0 |    0.01124 |           4 |      0 |      4 |     99.89 |    100.73
 74 |           0 |    0.01674 |           3 |      0 |      3 |     99.38 |     99.98
 67 |           1 |    0.01652 |           6 |      0 |      6 |     99.79 |    100.69
 78 |           2 |    0.01843 |           1 |      0 |      1 |     99.82 |    100.40
 71 |           9 |    0.01053 |           4 |      0 |      4 |     99.75 |    100.57
 75 |           0 |    0.01156 |           2 |      0 |      2 |     99.80 |    100.24
 56 |           1 |    0.01214 |           3 |      0 |      3 |     99.67 |    100.38
 77 |           0 |    0.01554 |           1 |      0 |      1 |     99.76 |    100.07
 81 |           0 |    0.01124 |           1 |      0 |      1 |     99.82 |    100.35
 92 |           1 |    0.01263 |           5 |      0 |      5 |     99.83 |    100.45
 96 |           3 |    0.01362 |           9 |      0 |      9 |     99.64 |    102.12
 87 |           0 |    0.01025 |         173 |      0 |    173 |     98.73 |    107.16
107 |         405 |    0.01017 |          22 |      1 |     23 |     98.82 |    100.91
 98 |           1 |    0.01146 |          11 |      0 |     11 |     98.76 |    100.59
 93 |           4 |    0.01007 |           3 |      0 |      3 |     99.89 |    100.48
108 |           0 |    0.03442 |          24 |      0 |     24 |     99.27 |    101.30
 97 |           0 |    0.01494 |          10 |      0 |     10 |     98.70 |    100.27
 88 |           1 |    0.01383 |           5 |      0 |      5 |     99.99 |    100.78
 91 |           0 |    0.01669 |           5 |      0 |      5 |     99.36 |    100.30
132 |           0 |    0.03569 |           8 |      0 |      8 |     99.20 |    100.75
127 |           1 |    0.01058 |           4 |      0 |      4 |     99.75 |    100.47
128 |           0 |    0.01873 |           6 |      0 |      6 |     99.49 |    100.74
129 |           0 |    0.02109 |           4 |      0 |      4 |     99.66 |    100.63
117 |           0 |    0.02780 |          13 |      0 |     13 |     98.61 |    100.27
125 |           0 |    0.01381 |           7 |      0 |      7 |     98.70 |    100.06
124 |           0 |    0.01466 |          12 |      0 |     12 |     98.01 |    100.57
136 |           0 |    0.02401 |          12 |      0 |     12 |     97.52 |    100.02
137 |        4922 |    0.01001 |          13 |      9 |     22 |     98.95 |    100.99
148 |           0 |    0.01034 |           6 |      0 |      6 |     99.42 |    100.44
157 |           4 |    0.01027 |           4 |      0 |      4 |     99.40 |    100.12
150 |           2 |    0.01134 |           9 |      0 |      9 |     99.18 |    100.52
156 |           0 |    0.01339 |           4 |      0 |      4 |     99.05 |    100.10
158 |           0 |    0.01692 |           4 |      0 |      4 |     99.89 |    100.64
140 |           0 |    0.01080 |           2 |      0 |      2 |     99.83 |    100.23
170 |           0 |    0.01021 |           4 |      0 |      4 |     99.93 |    101.01
161 |          12 |    0.01169 |          29 |      0 |     29 |     98.61 |    100.54
163 |           0 |    0.01140 |           4 |      0 |      4 |     99.91 |    100.90
182 |           0 |    0.01374 |           6 |      0 |      6 |     99.92 |    101.66
183 |           1 |    0.01086 |           5 |      0 |      5 |     99.06 |    100.16
167 |           0 |    0.02869 |           5 |      0 |      5 |     99.94 |    101.08
185 |           1 |    0.01302 |           9 |      0 |      9 |     99.97 |    100.97
188 |           0 |    0.01128 |           2 |      0 |      2 |     99.87 |    100.41
166 |           1 |    0.01152 |           4 |      0 |      4 |     99.10 |    100.10
175 |           0 |    0.01342 |           5 |      0 |      5 |     99.06 |    100.03
171 |           0 |    0.02267 |           8 |      0 |      8 |     99.91 |    101.06
181 |           0 |    0.01119 |          12 |      0 |     12 |     99.84 |    102.03
187 |           0 |    0.01303 |           8 |      0 |      8 |     99.00 |    100.31
189 |           0 |    0.01280 |          12 |      0 |     12 |     99.38 |    100.73
200 |           0 |    0.01644 |           8 |      0 |      8 |     98.89 |    100.16
195 |           0 |    0.01509 |           5 |      0 |      5 |     99.54 |    100.54
186 |           0 |    0.01283 |          18 |      0 |     18 |     99.22 |    101.96
212 |           0 |    0.01789 |           3 |      0 |      3 |     99.05 |    100.01
205 |           0 |    0.01936 |          19 |      0 |     19 |     97.78 |    100.23
221 |           0 |    0.01086 |           9 |      0 |      9 |     99.18 |    100.29
209 |        2293 |    0.01001 |           1 |      3 |      4 |     99.48 |    100.24
208 |           0 |    0.01467 |          29 |      0 |     29 |     99.90 |    102.40
207 |           0 |    0.01940 |           6 |      0 |      6 |     99.34 |    100.77
218 |           0 |    0.01123 |           2 |      0 |      2 |     99.82 |    100.40
231 |           0 |    0.01072 |           3 |      0 |      3 |    100.00 |    100.61
230 |           0 |    0.01345 |           6 |      0 |      6 |     98.85 |    100.07
242 |           5 |    0.01081 |           8 |      0 |      8 |     99.57 |    101.36
241 |           0 |    0.01301 |           2 |      0 |      2 |     99.79 |    100.58
234 |           1 |    0.01408 |           2 |      0 |      2 |     99.59 |    100.07
243 |           0 |    0.01233 |           5 |      0 |      5 |     99.64 |    100.39
249 |           0 |    0.01017 |           1 |      0 |      1 |     99.82 |    100.36
255 |           0 |    0.01495 |           9 |      0 |      9 |     99.07 |    100.15
256 |           0 |    0.01326 |           1 |      0 |      1 |     99.84 |    100.15
275 |        5385 |    0.01002 |           3 |      2 |      5 |     98.86 |    100.19
258 |           0 |    0.01261 |           3 |      0 |      3 |     99.89 |    100.50
259 |           2 |    0.01010 |           5 |      0 |      5 |     99.87 |    100.36
264 |           0 |    0.01780 |           3 |      0 |      3 |     99.66 |    100.23
260 |           2 |    0.01006 |           6 |      0 |      6 |     99.94 |    100.55
262 |           0 |    0.01169 |           7 |      0 |      7 |     99.86 |    101.23
273 |           0 |    0.04573 |          62 |      0 |     62 |     96.24 |    100.18
274 |           3 |    0.01083 |           3 |      0 |      3 |     99.72 |    100.38
279 |           6 |    0.01046 |           4 |      0 |      4 |     99.77 |    100.42
284 |           2 |    0.01105 |           8 |      0 |      8 |     99.55 |    100.70
294 |           2 |    0.01030 |           1 |      0 |      1 |     99.86 |    100.42
285 |           0 |    0.01249 |           7 |      0 |      7 |     99.68 |    100.90
298 |           0 |    0.01349 |          11 |      0 |     11 |     99.61 |    101.25
295 |           0 |    0.01544 |           8 |      0 |      8 |     99.74 |    100.63
290 |           0 |    0.01034 |          22 |      0 |     22 |     98.76 |    101.03
299 |           0 |    0.01166 |           4 |      0 |      4 |     99.67 |    100.63
311 |           1 |    0.01220 |         108 |      0 |    108 |     95.64 |    100.10
305 |           6 |    0.01050 |           9 |      0 |      9 |     98.89 |    100.11
309 |           0 |    0.01331 |           2 |      0 |      2 |    100.01 |    100.57
323 |           5 |    0.01027 |          16 |      0 |     16 |     99.72 |    101.99
319 |       16336 |    0.01001 |          12 |      4 |     16 |     99.61 |    100.97
324 |           0 |    0.01950 |           3 |      0 |      3 |     99.88 |    100.59
325 |        2161 |    0.01000 |           9 |      0 |      9 |     99.57 |    100.66
329 |           0 |    0.01297 |           6 |      0 |      6 |     99.27 |    100.02
331 |           0 |    0.03128 |          23 |      0 |     23 |     98.24 |    100.08
334 |           0 |    0.01484 |           2 |      0 |      2 |     99.89 |    100.26
345 |           0 |    0.01047 |           2 |      0 |      2 |     99.51 |    100.16
337 |           1 |    0.01033 |           9 |      0 |      9 |     98.67 |    100.17
343 |           0 |    0.02215 |          15 |      0 |     15 |     99.99 |    101.93
349 |           0 |    0.03335 |          15 |      0 |     15 |     99.46 |    100.65
354 |           0 |    0.01714 |           4 |      0 |      4 |     99.39 |    100.12
353 |           0 |    0.01524 |           7 |      0 |      7 |     99.53 |    100.49
361 |           1 |    0.01383 |           5 |      0 |      5 |     99.89 |    100.72
350 |           1 |    0.01022 |          13 |      0 |     13 |     99.80 |    101.45
352 |           0 |    0.01522 |           4 |      0 |      4 |    100.02 |    100.86
357 |           0 |    0.01123 |           1 |      0 |      1 |     99.75 |    100.28
363 |           0 |    0.01071 |           7 |      0 |      7 |     98.08 |    100.09
373 |           1 |    0.01082 |           4 |      0 |      4 |     99.75 |    100.48
364 |           0 |    0.01033 |           2 |      0 |      2 |     99.92 |    100.62
374 |           0 |    0.01402 |           4 |      0 |      4 |     99.57 |    100.66
366 |           3 |    0.01021 |           9 |      0 |      9 |     99.04 |    100.03
372 |           1 |    0.01095 |          12 |      0 |     12 |     98.59 |    101.39
369 |           0 |    0.01326 |           0 |      0 |      0 |     99.84 |    100.13
377 |           0 |    0.01390 |           3 |      0 |      3 |     99.33 |    100.04
378 |        9511 |    0.01000 |          13 |      4 |     17 |     98.73 |    100.37
370 |           0 |    0.01252 |           4 |      0 |      4 |     99.84 |    100.51
383 |           0 |    0.01129 |           5 |      0 |      5 |     99.95 |    101.52
385 |           0 |    0.01176 |           6 |      0 |      6 |     99.45 |    100.74
387 |           0 |    0.01457 |           5 |      0 |      5 |     99.28 |    100.17
393 |           2 |    0.01482 |           7 |      0 |      7 |     99.99 |    101.30
391 |           0 |    0.01090 |           7 |      0 |      7 |     99.85 |    100.73
395 |           0 |    0.01728 |           5 |      0 |      5 |    100.00 |    101.06
394 |           0 |    0.01335 |           5 |      0 |      5 |     99.42 |    100.15
405 |       16657 |    0.01000 |           3 |      2 |      5 |     99.80 |    100.49
418 |           0 |    0.01404 |           8 |      0 |      8 |     98.83 |    100.09
421 |           0 |    0.01725 |          67 |      0 |     67 |     93.74 |    100.59
429 |           0 |    0.01653 |           9 |      0 |      9 |     99.67 |    100.60
415 |           1 |    0.01131 |           1 |      0 |      1 |     99.74 |    100.30
413 |           1 |    0.01083 |           3 |      0 |      3 |     99.87 |    100.56
423 |           0 |    0.01454 |           2 |      0 |      2 |     99.78 |    100.59
424 |           1 |    0.01013 |           7 |      0 |      7 |     98.94 |    100.01
433 |           1 |    0.01171 |           7 |      0 |      7 |     99.76 |    100.54
434 |           0 |    0.01175 |           8 |      0 |      8 |     99.60 |    100.31
440 |           1 |    0.01005 |           8 |      0 |      8 |     99.59 |    100.64
442 |           0 |    0.01124 |           7 |      0 |      7 |     98.25 |    100.12
447 |           0 |    0.01873 |           4 |      0 |      4 |     99.77 |    100.27
439 |           1 |    0.01095 |           5 |      0 |      5 |     99.54 |    100.11
444 |           1 |    0.01084 |           2 |      0 |      2 |     99.97 |    100.66
446 |       22427 |    0.01002 |           2 |     11 |     13 |     97.01 |    100.40
455 |       14817 |    0.01000 |           8 |      5 |     13 |     99.51 |    100.33
449 |           0 |    0.01015 |           2 |      0 |      2 |     99.88 |    100.48
448 |          24 |    0.01024 |          11 |      0 |     11 |     98.23 |    100.25
456 |           0 |    0.02275 |           9 |      0 |      9 |    100.02 |    101.45
457 |           0 |    0.02150 |           7 |      0 |      7 |     99.79 |    100.92
463 |           0 |    0.01145 |          14 |      0 |     14 |     99.30 |    100.54
462 |          15 |    0.01003 |           6 |      0 |      6 |     99.53 |    100.32
464 |           0 |    0.03021 |           3 |      0 |      3 |     99.82 |    100.69
466 |           3 |    0.01042 |           5 |      0 |      5 |     99.90 |    101.00
469 |           0 |    0.02034 |           3 |      0 |      3 |     99.41 |    100.16
471 |           0 |    0.01248 |           5 |      0 |      5 |     99.35 |    100.59
480 |           0 |    0.01704 |          19 |      0 |     19 |     99.19 |    100.55
477 |           0 |    0.02132 |           9 |      0 |      9 |     99.96 |    101.36
483 |           0 |    0.01171 |           4 |      0 |      4 |     99.16 |    100.01
486 |           8 |    0.01340 |           4 |      0 |      4 |     99.31 |    100.09
492 |           0 |    0.03114 |          17 |      0 |     17 |     98.53 |    100.20
488 |           4 |    0.01202 |           8 |      0 |      8 |     99.32 |    100.85
499 |           0 |    0.01753 |           2 |      0 |      2 |     99.99 |    100.63
494 |           0 |    0.03136 |           5 |      0 |      5 |     99.93 |    100.82
506 |           0 |    0.01168 |           1 |      0 |      1 |     99.92 |    100.53
504 |           0 |    0.02162 |          16 |      0 |     16 |     99.95 |    102.22
505 |           0 |    0.01708 |           3 |      0 |      3 |     99.72 |    100.51

Days with ATR Cross: 175
Total Considered Pairs: 1631
Average Considered/Day: 9.32

====================================================================================================

====================================================================================================
SECTION B — Days where ATR < Threshold (No Active Regime)
====================================================================================================
Day | ATR @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
----|-------------|------------|-------------|--------|--------|-----------|----------
  1 |         N/A |    0.00000 |           0 |      1 |      1 |     99.88 |    100.36
 25 |         N/A |    0.00000 |           0 |      2 |      2 |     99.92 |    100.79
  9 |         N/A |    0.00000 |           0 |      1 |      1 |     99.76 |    100.11
 20 |         N/A |    0.00000 |           0 |      7 |      7 |     99.48 |    100.74
 16 |         N/A |    0.00000 |           0 |      3 |      3 |     99.56 |    100.05
 23 |         N/A |    0.00000 |           0 |      2 |      2 |     99.75 |    100.63
  8 |         N/A |    0.00000 |           0 |      5 |      5 |     99.94 |    100.56
  6 |         N/A |    0.00000 |           0 |      4 |      4 |     99.62 |    100.70
 21 |         N/A |    0.00000 |           0 |      7 |      7 |     99.03 |    100.49
 10 |         N/A |    0.00000 |           0 |      6 |      6 |     99.25 |    100.45
 12 |         N/A |    0.00000 |           0 |      2 |      2 |     99.68 |    100.28
 11 |         N/A |    0.00000 |           0 |      7 |      7 |     98.81 |    100.09
  0 |         N/A |    0.00000 |           0 |      7 |      7 |     99.39 |    100.20
 13 |         N/A |    0.00000 |           0 |      5 |      5 |     99.92 |    100.76
 15 |         N/A |    0.00000 |           0 |      3 |      3 |     99.97 |    100.47
 24 |         N/A |    0.00000 |           0 |      1 |      1 |     99.98 |    100.37
 26 |         N/A |    0.00000 |           0 |      3 |      3 |     99.70 |    100.23
 19 |         N/A |    0.00000 |           0 |      7 |      7 |     99.93 |    100.74
 30 |         N/A |    0.00000 |           0 |      5 |      5 |     98.85 |    100.02
 42 |         N/A |    0.00000 |           0 |      1 |      1 |     99.97 |    100.43
 27 |         N/A |    0.00000 |           0 |      2 |      2 |     99.92 |    100.51
 29 |         N/A |    0.00000 |           0 |      2 |      2 |     99.44 |    100.03
 44 |         N/A |    0.00000 |           0 |      6 |      6 |     99.05 |    100.01
 47 |         N/A |    0.00000 |           0 |      2 |      2 |     99.71 |    100.25
 45 |         N/A |    0.00000 |           0 |      1 |      1 |     99.59 |    100.21
 49 |         N/A |    0.00000 |           0 |      9 |      9 |     99.60 |    101.05
 37 |         N/A |    0.00000 |           0 |      2 |      2 |     99.78 |    100.22
 60 |         N/A |    0.00000 |           0 |      1 |      1 |     99.55 |    100.12
 31 |         N/A |    0.00000 |           0 |      3 |      3 |     99.86 |    100.55
 43 |         N/A |    0.00000 |           0 |      4 |      4 |    100.00 |    100.74
 61 |         N/A |    0.00000 |           0 |      8 |      8 |     99.69 |    100.87
 62 |         N/A |    0.00000 |           0 |      2 |      2 |     99.99 |    100.66
 50 |         N/A |    0.00000 |           0 |      3 |      3 |     99.68 |    100.36
 63 |         N/A |    0.00000 |           0 |      8 |      8 |     99.36 |    100.20
 35 |         N/A |    0.00000 |           0 |      5 |      5 |     99.92 |    101.12
 34 |         N/A |    0.00000 |           0 |      5 |      5 |     99.23 |    100.09
 46 |         N/A |    0.00000 |           0 |      2 |      2 |     99.97 |    100.66
 40 |         N/A |    0.00000 |           0 |      3 |      3 |     99.78 |    100.66
 41 |         N/A |    0.00000 |           0 |      3 |      3 |     99.78 |    100.53
 39 |         N/A |    0.00000 |           0 |      8 |      8 |     99.79 |    100.57
 52 |         N/A |    0.00000 |           0 |      3 |      3 |     99.61 |    100.25
 58 |         N/A |    0.00000 |           0 |     11 |     11 |     99.06 |    100.25
 54 |         N/A |    0.00000 |           0 |      9 |      9 |     99.12 |    100.40
 55 |         N/A |    0.00000 |           0 |      9 |      9 |     99.96 |    101.20
 79 |         N/A |    0.00000 |           0 |      1 |      1 |     99.63 |    100.02
 70 |         N/A |    0.00000 |           0 |      4 |      4 |     99.48 |    100.72
 68 |         N/A |    0.00000 |           0 |      3 |      3 |     99.14 |    100.06
 66 |         N/A |    0.00000 |           0 |      2 |      2 |     99.80 |    100.33
 59 |         N/A |    0.00000 |           0 |      4 |      4 |     99.67 |    100.25
 65 |         N/A |    0.00000 |           0 |      6 |      6 |     99.33 |    100.12
 72 |         N/A |    0.00000 |           0 |      2 |      2 |     99.97 |    100.54
 57 |         N/A |    0.00000 |           0 |      1 |      1 |     99.91 |    100.23
 76 |         N/A |    0.00000 |           0 |      1 |      1 |     99.53 |    100.09
 73 |         N/A |    0.00000 |           0 |      1 |      1 |     99.81 |    100.12
 69 |         N/A |    0.00000 |           0 |      0 |      0 |     99.97 |    100.24
 80 |         N/A |    0.00000 |           0 |      1 |      1 |     99.89 |    100.23
 82 |         N/A |    0.00000 |           0 |      2 |      2 |     99.95 |    100.51
 83 |         N/A |    0.00000 |           0 |     11 |     11 |     99.95 |    101.13
 84 |         N/A |    0.00000 |           0 |      7 |      7 |     98.79 |    100.00
 85 |         N/A |    0.00000 |           0 |      6 |      6 |     99.93 |    101.36
 94 |         N/A |    0.00000 |           0 |      7 |      7 |     99.78 |    100.62
 90 |         N/A |    0.00000 |           0 |      8 |      8 |     99.95 |    101.00
100 |         N/A |    0.00000 |           0 |      2 |      2 |     99.77 |    100.43
 95 |         N/A |    0.00000 |           0 |      2 |      2 |     99.91 |    100.51
104 |         N/A |    0.00000 |           0 |      2 |      2 |     99.85 |    100.78
101 |         N/A |    0.00000 |           0 |      2 |      2 |     99.96 |    100.80
 99 |         N/A |    0.00000 |           0 |      4 |      4 |     99.45 |    100.13
103 |         N/A |    0.00000 |           0 |      1 |      1 |     99.74 |    100.11
 89 |         N/A |    0.00000 |           0 |      6 |      6 |     99.45 |    100.15
 86 |         N/A |    0.00000 |           0 |      4 |      4 |     99.46 |    100.06
109 |         N/A |    0.00000 |           0 |      7 |      7 |     99.38 |    100.27
105 |         N/A |    0.00000 |           0 |      5 |      5 |     98.43 |    100.03
106 |         N/A |    0.00000 |           0 |      3 |      3 |     99.30 |    100.07
