====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — SEGMENTED BY ATR THRESHOLD CROSSING (0.01)
====================================================================================================

Data Directory: /data/quant14/EBY
ATR Window: 20 | ATR Threshold: 0.01
Days Processed: 279 / 279

====================================================================================================
SECTION A — Days where ATR crossed 0.01 (ATR Hit Detected)
====================================================================================================
Day | ATR Hit @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
----|----------------|------------|-------------|--------|--------|-----------|----------
  0 |              1 |    0.01108 |           7 |      0 |      7 |     99.50 |    100.47
  1 |              1 |    0.01147 |           7 |      0 |      7 |     99.67 |    100.78
  2 |            600 |    0.01036 |           6 |      0 |      6 |     99.35 |    100.37
  3 |              0 |    0.02573 |           3 |      0 |      3 |     99.27 |     99.98
  4 |            943 |    0.01010 |           1 |      0 |      1 |     99.85 |    100.30
  5 |           1383 |    0.01011 |           6 |      0 |      6 |     99.37 |    100.24
  6 |           1006 |    0.01047 |          12 |      0 |     12 |     98.91 |    100.59
  7 |              0 |    0.01016 |           8 |      0 |      8 |     99.87 |    100.99
  9 |           2679 |    0.01038 |           4 |      0 |      4 |     99.45 |    100.20
 10 |              5 |    0.01121 |          11 |      0 |     11 |     98.72 |    100.40
 11 |              0 |    0.01594 |           2 |      0 |      2 |    100.00 |    100.54
 12 |              0 |    0.01301 |           5 |      0 |      5 |     99.51 |    100.38
 13 |              0 |    0.01629 |           5 |      0 |      5 |     99.77 |    101.17
 14 |           1789 |    0.01009 |           4 |      1 |      5 |     99.08 |    100.12
 15 |              0 |    0.01661 |           3 |      0 |      3 |    100.01 |    100.91
 17 |             11 |    0.01025 |           2 |      0 |      2 |     99.70 |    100.25
 18 |              3 |    0.01019 |           7 |      0 |      7 |     98.92 |    100.14
 19 |              0 |    0.04428 |           9 |      0 |      9 |     98.26 |     99.96
 20 |              2 |    0.01876 |          12 |      0 |     12 |     98.80 |    100.01
 21 |              1 |    0.01040 |           4 |      0 |      4 |     99.45 |    100.44
 22 |            397 |    0.01035 |          16 |      0 |     16 |     99.90 |    102.22
 24 |           5116 |    0.01011 |           3 |      3 |      6 |     99.98 |    101.05
 25 |              1 |    0.01092 |          10 |      0 |     10 |     99.09 |    100.80
 26 |              0 |    0.02030 |           2 |      0 |      2 |     99.95 |    100.33
 28 |              0 |    0.01052 |           4 |      0 |      4 |     99.29 |    100.13
 29 |              0 |    0.01455 |           2 |      0 |      2 |     99.45 |    100.17
 30 |              0 |    0.01050 |           6 |      0 |      6 |     99.54 |    100.78
 31 |              1 |    0.01106 |           6 |      0 |      6 |     99.83 |    101.08
 33 |           9897 |    0.01072 |           3 |      0 |      3 |     99.79 |    100.72
 34 |              0 |    0.01567 |           3 |      0 |      3 |     99.72 |    100.51
 35 |           5197 |    0.01042 |           3 |      0 |      3 |     99.74 |    100.37
 37 |              0 |    0.02275 |           3 |      0 |      3 |     99.76 |    100.32
 38 |           2511 |    0.01056 |           7 |      1 |      8 |     98.50 |    100.08
 39 |              1 |    0.01118 |           2 |      0 |      2 |     99.43 |    100.05
 40 |           3405 |    0.01011 |           7 |      0 |      7 |     99.76 |    100.87
 42 |           4749 |    0.01035 |           4 |      2 |      6 |     98.85 |    100.00
 43 |            338 |    0.01007 |           7 |      0 |      7 |     98.86 |    100.58
 44 |              0 |    0.03278 |           4 |      0 |      4 |     99.72 |    100.39
 45 |           1949 |    0.01030 |           2 |      1 |      3 |    100.01 |    100.63
 46 |              0 |    0.01252 |           2 |      0 |      2 |     99.63 |    100.20
 47 |              0 |    0.01451 |           3 |      0 |      3 |     99.07 |    100.02
 48 |              0 |    0.02626 |           3 |      0 |      3 |     99.83 |    100.48
 49 |              0 |    0.01512 |           3 |      0 |      3 |     98.84 |    100.02
 50 |              0 |    0.01191 |           9 |      0 |      9 |     99.92 |    102.13
 51 |              1 |    0.01105 |           2 |      0 |      2 |     99.85 |    100.52
 53 |              0 |    0.04192 |           4 |      0 |      4 |     99.91 |    100.67
 54 |              0 |    0.01610 |           6 |      0 |      6 |     99.96 |    100.92
 56 |            290 |    0.01050 |          11 |      0 |     11 |     99.07 |    100.49
 57 |            195 |    0.01024 |           6 |      0 |      6 |     99.41 |    100.08
