====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
REGIME: First KAMA SLOPE ABS >= THRESHOLD
====================================================================================================

KAMA Window: 30 | KAMA Slope Threshold: 0.0008
Min Trade Duration: 5s | Cooldown: 5s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where KAMA Slope >= Threshold (Active Regime)
====================================================================================================
Day | KAMA @Index | KAMA_Slope | Considered | Missed | Total | Price Min | Price Max
----|-------------|-----------|-------------|--------|--------|-----------|----------
  5 |        3517 |   0.000874 |          12 |      5 |     17 |     99.89 |    102.43
 21 |       17934 |   0.000854 |           2 |      5 |      7 |     99.03 |    100.49
 14 |       17239 |   0.000905 |           5 |      2 |      7 |     97.98 |    100.10
 44 |        4535 |   0.000818 |           3 |      3 |      6 |     99.05 |    100.01
 49 |       11171 |   0.000821 |           4 |      5 |      9 |     99.60 |    101.05
 33 |       11717 |   0.000854 |          10 |     14 |     24 |     99.07 |    100.82
 36 |       11072 |   0.000806 |          21 |     36 |     57 |     99.24 |    102.32
 28 |        5345 |   0.000828 |           6 |      8 |     14 |     99.90 |    101.37
 54 |         463 |   0.000883 |           7 |      2 |      9 |     99.12 |    100.40
 96 |        7033 |   0.000827 |           5 |      5 |     10 |     99.64 |    102.12
107 |         425 |   0.000879 |          23 |      1 |     24 |     98.82 |    100.91
 98 |       14350 |   0.000822 |           4 |      6 |     10 |     98.76 |    100.59
 85 |       18770 |   0.000811 |           3 |      3 |      6 |     99.93 |    101.36
108 |       16266 |   0.000906 |           6 |     14 |     20 |     99.27 |    101.30
 83 |        2138 |   0.000806 |           7 |      2 |      9 |     99.95 |    101.13
 97 |        2705 |   0.000817 |           7 |      3 |     10 |     98.70 |    100.27
125 |        3978 |   0.000833 |           4 |      3 |      7 |     98.70 |    100.06
 87 |         456 |   0.000830 |         198 |      3 |    201 |     98.73 |    107.16
136 |        2759 |   0.000883 |           8 |      3 |     11 |     97.52 |    100.02
124 |       13471 |   0.000824 |           5 |      7 |     12 |     98.01 |    100.57
137 |        6915 |   0.000822 |          17 |     10 |     27 |     98.95 |    100.99
139 |        3438 |   0.000801 |           6 |      4 |     10 |     98.81 |    100.33
161 |        3993 |   0.000882 |          20 |      8 |     28 |     98.61 |    100.54
171 |       21783 |   0.000868 |           1 |      7 |      8 |     99.91 |    101.06
166 |        5389 |   0.000807 |           6 |      2 |      8 |     99.10 |    100.10
173 |        3710 |   0.000816 |           8 |      3 |     11 |     97.94 |    100.13
169 |        7926 |   0.000837 |           6 |      2 |      8 |     98.58 |    100.02
181 |        3365 |   0.000837 |           8 |      3 |     11 |     99.84 |    102.03
186 |        7049 |   0.000809 |          11 |      6 |     17 |     99.22 |    101.96
197 |        2797 |   0.000864 |           8 |      2 |     10 |     98.19 |    100.02
205 |       16530 |   0.000820 |          11 |     13 |     24 |     97.78 |    100.23
204 |       18727 |   0.000970 |           2 |      4 |      6 |     98.93 |    100.39
202 |       17915 |   0.000819 |           0 |      5 |      5 |     98.33 |    100.05
208 |         538 |   0.000828 |          25 |      2 |     27 |     99.90 |    102.40
230 |        4297 |   0.000864 |           3 |      3 |      6 |     98.85 |    100.07
236 |        3648 |   0.000834 |           6 |      3 |      9 |     98.17 |    100.15
239 |       11844 |   0.000935 |           4 |      8 |     12 |     98.48 |    100.28
242 |       14483 |   0.000801 |           3 |      5 |      8 |     99.57 |    101.36
253 |       17679 |   0.000816 |           2 |      3 |      5 |     98.45 |    100.16
