==============================================================================================================
PB9_T1 — VOLATILITY STRENGTH (SMA-based Rolling Std) — FIXED THRESHOLD = 0.029
==============================================================================================================

Data Directory: /data/quant14/EBY
SMA Window: 20
Fixed Volatility Threshold: 0.029
Days Processed: 279 / 279

==============================================================================================================
SECTION A — Days where VOL_STRENGTH ≥ 0.029
==============================================================================================================
Day | Vol Hit @Index | Vol Value | Considered | Missed | Total | PB9_T1 Min | PB9_T1 Max
----|----------------|------------|-------------|--------|--------|-------------|-------------
  0 |           9587 |      0.037 |           6 |      1 |      7 |       99.50 |      100.47
  1 |            301 |      0.030 |           7 |      0 |      7 |       99.67 |      100.78
  2 |            248 |      0.031 |           6 |      0 |      6 |       99.35 |      100.37
  4 |            944 |      0.033 |           1 |      0 |      1 |       99.85 |      100.30
  5 |           1379 |      0.031 |           6 |      0 |      6 |       99.37 |      100.24
  6 |            998 |      0.030 |          12 |      0 |     12 |       98.91 |      100.59
  7 |             92 |      0.032 |          10 |      0 |     10 |       99.87 |      100.99
  9 |           2491 |      0.030 |           4 |      0 |      4 |       99.45 |      100.20
 10 |             26 |      0.029 |          11 |      0 |     11 |       98.72 |      100.40
 12 |             56 |      0.030 |           5 |      0 |      5 |       99.51 |      100.38
 13 |             19 |      0.032 |           5 |      0 |      5 |       99.77 |      101.17
 14 |            451 |      0.030 |           5 |      0 |      5 |       99.08 |      100.12
 15 |            938 |      0.030 |           3 |      0 |      3 |      100.00 |      100.91
 17 |             19 |      0.032 |           2 |      0 |      2 |       99.70 |      100.25
 18 |             37 |      0.030 |           7 |      0 |      7 |       98.92 |      100.14
 19 |             29 |      0.029 |           9 |      0 |      9 |       98.26 |      100.00
 20 |             19 |      0.039 |          12 |      0 |     12 |       98.80 |      100.01
 21 |          20709 |      0.029 |           0 |      4 |      4 |       99.45 |      100.44
 22 |             54 |      0.029 |          16 |      0 |     16 |       99.90 |      102.22
 23 |            166 |      0.029 |           2 |      0 |      2 |       99.28 |      100.07
 24 |           1124 |      0.030 |           5 |      1 |      6 |       99.98 |      101.05
 25 |             19 |      0.033 |          10 |      0 |     10 |       99.09 |      100.80
 28 |           1019 |      0.029 |           4 |      0 |      4 |       99.29 |      100.13
 29 |           1484 |      0.029 |           2 |      0 |      2 |       99.45 |      100.17
 30 |           2916 |      0.031 |           6 |      0 |      6 |       99.54 |      100.78
 31 |             50 |      0.029 |           6 |      0 |      6 |       99.83 |      101.08
 32 |          20663 |      0.030 |           0 |      0 |      0 |       99.94 |      100.24
 33 |            274 |      0.030 |           3 |      0 |      3 |       99.79 |      100.72
 35 |           5184 |      0.034 |           3 |      0 |      3 |       99.74 |      100.37
 37 |            699 |      0.031 |           2 |      1 |      3 |       99.76 |      100.32
 38 |           2507 |      0.031 |           7 |      1 |      8 |       98.50 |      100.08
 39 |          17405 |      0.030 |           1 |      1 |      2 |       99.43 |      100.05
 40 |            966 |      0.030 |           7 |      0 |      7 |       99.76 |      100.87
 41 |            969 |      0.029 |           4 |      0 |      4 |       99.32 |      100.26
 42 |           4287 |      0.029 |           4 |      2 |      6 |       98.85 |      100.00
 43 |            305 |      0.029 |           7 |      0 |      7 |       98.86 |      100.58
 44 |          10346 |      0.030 |           2 |      2 |      4 |       99.72 |      100.39
 45 |           1943 |      0.030 |           4 |      1 |      5 |      100.00 |      100.63
 46 |           1789 |      0.031 |           2 |      0 |      2 |       99.63 |      100.20
 48 |            815 |      0.029 |           3 |      0 |      3 |       99.83 |      100.48
 49 |            276 |      0.029 |           3 |      0 |      3 |       98.84 |      100.02
 50 |             30 |      0.030 |           9 |      0 |      9 |       99.92 |      102.13
 51 |           8218 |      0.029 |           1 |      1 |      2 |       99.85 |      100.52
 53 |           4710 |      0.030 |           2 |      2 |      4 |       99.91 |      100.67
 54 |           1984 |      0.030 |           5 |      1 |      6 |       99.96 |      100.92
 56 |            289 |      0.029 |          11 |      0 |     11 |       99.07 |      100.49
 57 |            192 |      0.034 |           6 |      0 |      6 |       99.41 |      100.08
 58 |            154 |      0.042 |          12 |      0 |     12 |       99.33 |      100.29
 59 |            335 |      0.031 |           2 |      0 |      2 |       99.78 |      100.42
 61 |            142 |      0.031 |          18 |      0 |     18 |       99.71 |      100.92
 62 |            257 |      0.029 |           3 |      0 |      3 |       99.14 |      100.26
 63 |           3432 |      0.030 |           4 |      1 |      5 |       99.95 |      101.06
 64 |            242 |      0.030 |           3 |      0 |      3 |       99.63 |      100.18
 65 |          13630 |      0.029 |           0 |      1 |      1 |       99.98 |      100.48
 67 |           1867 |      0.030 |           3 |      0 |      3 |       99.80 |      100.86
 68 |             19 |      0.038 |           9 |      0 |      9 |       99.89 |      100.76
 69 |           2859 |      0.030 |           4 |      1 |      5 |       99.92 |      100.95
 72 |             20 |      0.030 |          14 |      0 |     14 |       98.74 |      100.81
 73 |            247 |      0.030 |           3 |      0 |      3 |       99.83 |      100.86
 74 |            603 |      0.032 |           4 |      0 |      4 |       99.80 |      100.42
 75 |            443 |      0.031 |           2 |      0 |      2 |       99.66 |      100.24
 76 |            859 |      0.029 |           4 |      0 |      4 |       99.73 |      101.09
 77 |            510 |      0.029 |           7 |      0 |      7 |       99.79 |      101.22
 78 |           3467 |      0.035 |           7 |      0 |      7 |       99.23 |      100.41
 79 |           1583 |      0.030 |           4 |      0 |      4 |       98.96 |      100.11
 82 |            492 |      0.030 |           7 |      0 |      7 |       99.59 |      100.54
 83 |            461 |      0.029 |           4 |      0 |      4 |       99.92 |      100.53
 84 |           2351 |      0.031 |           5 |      0 |      5 |       99.88 |      100.78
 85 |           1301 |      0.032 |           6 |      1 |      7 |       99.42 |      100.95
 88 |           3366 |      0.030 |           3 |      0 |      3 |       99.78 |      101.02
 89 |          19910 |      0.030 |           3 |      1 |      4 |       99.45 |      100.56
 90 |             88 |      0.031 |           6 |      0 |      6 |       99.60 |      100.94
 91 |             19 |      0.029 |           9 |      0 |      9 |       99.19 |      100.42
 92 |            285 |      0.031 |           6 |      0 |      6 |       99.83 |      101.17
 93 |           1092 |      0.033 |           3 |      0 |      3 |       99.84 |      100.37
 94 |            302 |      0.030 |           2 |      0 |      2 |       99.76 |      100.44
 95 |           1188 |      0.029 |           5 |      0 |      5 |       99.59 |      100.35
 98 |           2735 |      0.038 |           4 |      0 |      4 |       99.27 |      100.24
 99 |            248 |      0.031 |           3 |      0 |      3 |       99.41 |      100.01
101 |            875 |      0.030 |           1 |      0 |      1 |       99.87 |      100.36
102 |           1312 |      0.030 |           3 |      1 |      4 |       99.43 |      100.00
104 |             19 |      0.035 |         175 |      0 |    175 |       91.42 |      100.50
