====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15 s, 15 s cooldown)
====================================================================================================

ATR Window: 20 | ATR Threshold: 0.01
VOL Window: 20 | VOL Threshold: 0.06
Min Trade Duration: 15 s | Cooldown: 15 s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where ATR ≥ 0.01 AND VOL ≥ 0.06
====================================================================================================
Day | ATR @Idx | ATR | VOL @Idx | VOL | Considered | Missed | Total | Price Min | Price Max
----|-----------|------|-----------|------|-------------|--------|--------|-----------|----------
 22 |         2 | 0.0119 |     18052 | 0.0619 |           3 |      3 |      6 |     99.27 |    100.23
 33 |         0 | 0.0156 |      1788 | 0.0629 |          24 |      1 |     25 |     99.07 |    100.82
 28 |         1 | 0.0125 |      1741 | 0.0895 |           9 |      1 |     10 |     99.90 |    101.37
 39 |       855 | 0.0101 |     12651 | 0.0622 |           6 |      2 |      8 |     99.79 |    100.57
 61 |      3856 | 0.0100 |      3880 | 0.0628 |           5 |      3 |      8 |     99.69 |    100.87
 63 |        81 | 0.0106 |      3887 | 0.0610 |           5 |      3 |      8 |     99.36 |    100.20
 35 |      2157 | 0.0100 |      2163 | 0.0600 |           3 |      2 |      5 |     99.92 |    101.12
 32 |         0 | 0.0204 |     12674 | 0.0615 |           6 |      4 |     10 |     99.54 |    100.46
 36 |         0 | 0.0114 |        19 | 0.0683 |          55 |      0 |     55 |     99.24 |    102.32
 51 |        28 | 0.0110 |      1077 | 0.0617 |          13 |      0 |     13 |     99.35 |    100.73
 56 |         1 | 0.0121 |      1349 | 0.0626 |           3 |      0 |      3 |     99.67 |    100.38
 54 |       310 | 0.0100 |       456 | 0.0604 |           8 |      1 |      9 |     99.12 |    100.40
 85 |     16140 | 0.0108 |     16145 | 0.0631 |           6 |      0 |      6 |     99.93 |    101.36
 87 |         0 | 0.0102 |        51 | 0.0611 |         173 |      0 |    173 |     98.73 |    107.16
 98 |         1 | 0.0115 |      1845 | 0.0640 |          10 |      1 |     11 |     98.76 |    100.59
 88 |         1 | 0.0138 |     13762 | 0.0600 |           3 |      2 |      5 |     99.99 |    100.78
 95 |     12681 | 0.0111 |     12681 | 0.0617 |           1 |      1 |      2 |     99.91 |    100.51
107 |        87 | 0.0100 |       401 | 0.0766 |          23 |      0 |     23 |     98.82 |    100.91
108 |         0 | 0.0344 |      1541 | 0.0632 |          21 |      3 |     24 |     99.27 |    101.30
109 |      6782 | 0.0104 |     11921 | 0.0602 |           3 |      4 |      7 |     99.38 |    100.27
117 |         0 | 0.0278 |      2051 | 0.0633 |          12 |      1 |     13 |     98.61 |    100.27
135 |      1201 | 0.0110 |      1745 | 0.0637 |           8 |      0 |      8 |     99.36 |    100.41
136 |         0 | 0.0240 |      1076 | 0.0601 |          11 |      1 |     12 |     97.52 |    100.02
139 |      1743 | 0.0106 |      1745 | 0.0610 |           7 |      1 |      8 |     98.81 |    100.33
137 |        34 | 0.0101 |      1749 | 0.0635 |          19 |      3 |     22 |     98.95 |    100.99
144 |      1746 | 0.0110 |      1748 | 0.0610 |           2 |      1 |      3 |     99.46 |    100.26
138 |       486 | 0.0110 |      8720 | 0.0620 |           4 |      2 |      6 |     98.59 |    100.15
156 |         0 | 0.0134 |      1751 | 0.0606 |           4 |      0 |      4 |     99.05 |    100.10
161 |        12 | 0.0117 |        89 | 0.0601 |          29 |      0 |     29 |     98.61 |    100.54
150 |         2 | 0.0113 |     10664 | 0.0651 |           6 |      3 |      9 |     99.18 |    100.52
166 |         1 | 0.0115 |       788 | 0.0635 |           3 |      1 |      4 |     99.10 |    100.10
171 |         0 | 0.0227 |      1744 | 0.0620 |           8 |      0 |      8 |     99.91 |    101.06
181 |         0 | 0.0112 |     10643 | 0.0621 |           5 |      7 |     12 |     99.84 |    102.03
173 |       122 | 0.0103 |      5377 | 0.0619 |           6 |      5 |     11 |     97.94 |    100.13
185 |         1 | 0.0130 |      1356 | 0.0606 |           7 |      2 |      9 |     99.97 |    100.97
186 |         0 | 0.0128 |     16563 | 0.0965 |           7 |     11 |     18 |     99.22 |    101.96
193 |      1742 | 0.0106 |      1744 | 0.0607 |           5 |      0 |      5 |     99.73 |    100.14
189 |         0 | 0.0128 |      1749 | 0.0601 |          11 |      1 |     12 |     99.38 |    100.73
206 |      1739 | 0.0103 |      1746 | 0.0644 |           2 |      0 |      2 |     99.73 |    100.84
197 |      1741 | 0.0103 |      1745 | 0.0603 |          12 |      1 |     13 |     98.19 |    100.02
205 |         0 | 0.0194 |      1253 | 0.0642 |          17 |      2 |     19 |     97.78 |    100.23
202 |      1740 | 0.0103 |      1745 | 0.0608 |           4 |      1 |      5 |     98.33 |    100.05
209 |      1739 | 0.0134 |      1745 | 0.0611 |           2 |      2 |      4 |     99.48 |    100.24
208 |         0 | 0.0147 |       326 | 0.0613 |          28 |      1 |     29 |     99.90 |    102.40
236 |       741 | 0.0140 |      1744 | 0.0634 |           6 |      1 |      7 |     98.17 |    100.15
239 |       182 | 0.0101 |      4951 | 0.0622 |           9 |      3 |     12 |     98.48 |    100.28
232 |       259 | 0.0103 |      1226 | 0.0642 |           6 |      1 |      7 |     99.59 |    100.65
231 |         0 | 0.0107 |      1758 | 0.0658 |           2 |      1 |      3 |    100.00 |    100.61
240 |      1742 | 0.0117 |      1745 | 0.0640 |           5 |      0 |      5 |     98.85 |    100.08
244 |      1740 | 0.0102 |      1743 | 0.0657 |           3 |      0 |      3 |     99.88 |    100.47
275 |      1739 | 0.0120 |      1741 | 0.0627 |           5 |      0 |      5 |     98.86 |    100.19
268 |     10247 | 0.0102 |     12653 | 0.0618 |           7 |      2 |      9 |     98.82 |    100.22
290 |         0 | 0.0103 |       564 | 0.0605 |          22 |      0 |     22 |     98.76 |    101.03
272 |      4316 | 0.0100 |      4318 | 0.0646 |           1 |      1 |      2 |     99.88 |    100.62
273 |         0 | 0.0457 |        67 | 0.0613 |          62 |      0 |     62 |     96.24 |    100.18
270 |      2224 | 0.0101 |      3444 | 0.0634 |           5 |      2 |      7 |     99.04 |    100.09
287 |      1748 | 0.0103 |      1750 | 0.0622 |           5 |      0 |      5 |     99.32 |    100.20
298 |         0 | 0.0135 |      3049 | 0.0605 |          10 |      1 |     11 |     99.61 |    101.25
305 |         6 | 0.0105 |      1743 | 0.0638 |           8 |      1 |      9 |     98.89 |    100.11
299 |         0 | 0.0117 |      1746 | 0.0623 |           4 |      0 |      4 |     99.67 |    100.63
301 |      8617 | 0.0106 |      8618 | 0.0639 |           2 |      0 |      2 |     99.82 |    100.52
311 |         1 | 0.0122 |       128 | 0.0603 |         107 |      1 |    108 |     95.64 |    100.10
318 |     16140 | 0.0130 |     16142 | 0.0736 |           4 |      0 |      4 |     98.83 |    100.18
319 |     16139 | 0.0165 |     16145 | 0.0668 |          14 |      2 |     16 |     99.61 |    100.97
323 |         5 | 0.0103 |     22766 | 0.0643 |           1 |     15 |     16 |     99.72 |    101.99
321 |     19268 | 0.0109 |     19270 | 0.0624 |           4 |      1 |      5 |     99.21 |    100.18
325 |        49 | 0.0104 |      1741 | 0.0696 |           9 |      0 |      9 |     99.57 |    100.66
331 |         0 | 0.0313 |        71 | 0.0623 |          23 |      0 |     23 |     98.24 |    100.08
343 |         0 | 0.0221 |      1252 | 0.0817 |          13 |      2 |     15 |     99.99 |    101.93
344 |     16142 | 0.0110 |     16144 | 0.0646 |           3 |      0 |      3 |     99.85 |    100.93
349 |         0 | 0.0334 |       214 | 0.0615 |          15 |      0 |     15 |     99.46 |    100.65
350 |         1 | 0.0102 |       916 | 0.0610 |          13 |      0 |     13 |     99.80 |    101.45
363 |         0 | 0.0107 |     22157 | 0.1756 |           1 |      6 |      7 |     98.08 |    100.09
370 |         0 | 0.0125 |      6252 | 0.0876 |           2 |      2 |      4 |     99.84 |    100.51
367 |       109 | 0.0107 |     13523 | 0.0640 |           9 |      8 |     17 |     99.55 |    101.65
373 |         1 | 0.0108 |      7301 | 0.0606 |           4 |      0 |      4 |     99.75 |    100.48
378 |      8947 | 0.0106 |      8949 | 0.0604 |          14 |      3 |     17 |     98.73 |    100.37
388 |      4983 | 0.0103 |      4986 | 0.0604 |           5 |      1 |      6 |     99.11 |    100.17
391 |         0 | 0.0109 |      1745 | 0.0637 |           6 |      1 |      7 |     99.85 |    100.73
396 |     12618 | 0.0100 |     16149 | 0.0605 |           6 |      1 |      7 |     99.28 |    100.09
405 |     16140 | 0.0151 |     16142 | 0.0767 |           3 |      2 |      5 |     99.80 |    100.49
410 |      1495 | 0.0101 |      1499 | 0.0613 |           7 |      0 |      7 |     99.53 |    100.69
421 |         0 | 0.0172 |        19 | 0.0658 |          67 |      0 |     67 |     93.74 |    100.59
428 |      1749 | 0.0102 |      1752 | 0.0603 |           5 |      0 |      5 |     99.99 |    100.61
419 |       264 | 0.0103 |     22747 | 0.0609 |           2 |     12 |     14 |     99.41 |    101.91
443 |     13888 | 0.0115 |     13891 | 0.0608 |           2 |      4 |      6 |     99.26 |    100.09
446 |     16140 | 0.0137 |     16142 | 0.0682 |          12 |      1 |     13 |     97.01 |    100.40
438 |      1741 | 0.0101 |      1743 | 0.0606 |           2 |      0 |      2 |     99.83 |    100.75
440 |         1 | 0.0100 |      1402 | 0.0602 |           6 |      2 |      8 |     99.59 |    100.64
448 |        22 | 0.0101 |      1151 | 0.0604 |          11 |      0 |     11 |     98.23 |    100.25
453 |      1740 | 0.0103 |      1745 | 0.0651 |           4 |      0 |      4 |     99.85 |    100.61
455 |     14336 | 0.0102 |     14366 | 0.0634 |           8 |      5 |     13 |     99.51 |    100.33
456 |         0 | 0.0228 |      1744 | 0.0744 |           8 |      1 |      9 |    100.02 |    101.45
463 |         0 | 0.0114 |     16143 | 0.0675 |          12 |      2 |     14 |     99.30 |    100.54
477 |         0 | 0.0213 |     23047 | 0.0604 |           0 |      9 |      9 |     99.96 |    101.36
480 |         0 | 0.0170 |      8943 | 0.0639 |          12 |      7 |     19 |     99.19 |    100.55
