========================================================================================================================
PRICE FLUCTUATION (≥ 0.3) — ATR + DUAL VOL (60 & 100) TIME-FILTERED TRADES
========================================================================================================================

ATR Window: 180 | ATR Threshold: 0.01
VOL1 Window: 100 | VOL2 Window: 60 | Threshold: 0.06
Min Trade Duration: 15s | Cooldown: 15s
Days Processed: 279 / 279

========================================================================================================================
SECTION A — Days where ATR ≥ 0.01 AND VOL_100 ≥ 0.06 AND VOL_60 ≥ 0.06
========================================================================================================================
Day | ATR@Idx | ATR | VOL100@Idx | VOL100 | VOL60@Idx | VOL60 | Considered | Missed | Total | PriceMin | PriceMax
----|----------|------|------------|---------|-----------|--------|-------------|--------|--------|----------|---------
  0 |        1 | 0.0111 |       9594 |   0.063 |      9593 |  0.064 |           5 |      2 |      7 |     99.50 |    100.47
 17 |       11 | 0.0102 |        840 |   0.061 |       845 |  0.060 |           2 |      0 |      2 |     99.70 |    100.25
 20 |        2 | 0.0188 |         99 |   0.128 |        59 |  0.101 |           6 |      1 |      7 |     98.80 |    100.01
  7 |        0 | 0.0102 |       1847 |   0.060 |      9706 |  0.060 |           5 |      2 |      7 |     99.87 |    100.99
 25 |        1 | 0.0109 |        643 |   0.061 |      4999 |  0.061 |           9 |      3 |     12 |     99.09 |    100.80
 22 |     1479 | 0.0100 |        409 |   0.061 |       408 |  0.060 |          12 |      1 |     13 |     99.90 |    102.22
 10 |        5 | 0.0112 |        456 |   0.060 |      1216 |  0.060 |           7 |      1 |      8 |     98.72 |    100.40
 13 |        0 | 0.0163 |        296 |   0.061 |       293 |  0.060 |           5 |      0 |      5 |     99.77 |    101.17
 30 |        0 | 0.0105 |       3011 |   0.060 |      2927 |  0.060 |           6 |      0 |      6 |     99.54 |    100.78
 29 |        0 | 0.0146 |       7122 |   0.060 |      7116 |  0.060 |           1 |      1 |      2 |     99.45 |    100.17
 18 |        3 | 0.0102 |       1048 |   0.061 |      1047 |  0.060 |           3 |      2 |      5 |     98.92 |    100.14
 31 |        1 | 0.0111 |      10042 |   0.061 |     10038 |  0.061 |           5 |      1 |      6 |     99.83 |    101.08
 50 |        0 | 0.0119 |        326 |   0.060 |      5000 |  0.060 |           7 |      2 |      9 |     99.92 |    102.13
 48 |        0 | 0.0263 |       3066 |   0.061 |     15500 |  0.060 |           1 |      1 |      2 |     99.83 |    100.48
 58 |      286 | 0.0101 |        162 |   0.061 |       159 |  0.064 |           9 |      0 |      9 |     99.33 |    100.29
 54 |        0 | 0.0161 |       1994 |   0.061 |      3573 |  0.060 |           7 |      2 |      9 |     99.96 |    100.92
 53 |        0 | 0.0419 |      16925 |   0.060 |     16919 |  0.061 |           0 |      3 |      3 |     99.91 |    100.67
 61 |        0 | 0.0198 |        247 |   0.060 |       244 |  0.060 |          17 |      0 |     17 |     99.71 |    100.92
 68 |        0 | 0.0187 |       1216 |   0.062 |      1212 |  0.060 |           8 |      1 |      9 |     99.89 |    100.76
 72 |        0 | 0.0204 |         99 |   0.096 |        59 |  0.082 |          13 |      0 |     13 |     98.74 |    100.81
 77 |        0 | 0.0179 |        523 |   0.060 |      4494 |  0.060 |           4 |      3 |      7 |     99.79 |    101.22
 76 |        0 | 0.0169 |        901 |   0.061 |      2347 |  0.061 |           4 |      0 |      4 |     99.73 |    101.09
 82 |        1 | 0.0162 |        661 |   0.061 |       654 |  0.060 |           6 |      1 |      7 |     99.59 |    100.54
 89 |        2 | 0.0115 |      20652 |   0.062 |     20649 |  0.064 |           1 |      3 |      4 |     99.45 |    100.56
