====================================================================================================
PB9_ADX FLUCTUATION (≥ 0.3) — SEGMENTED BY ADX THRESHOLD CROSSING (84.1)
====================================================================================================

Data Directory: /data/quant14/EBY
ADX Window: 14 | Threshold: 84.1
Days Processed: 279 / 279

====================================================================================================
SECTION A — Days where ADX crossed ≥ 84.1
====================================================================================================
Day | ADX Hit @Index | ADX Value | Considered | Missed | Total | Price Min | Price Max
----|----------------|------------|-------------|--------|--------|-----------|----------
  0 |           9701 |     84.403 |           4 |      3 |      7 |     99.50 |    100.47
  2 |          13920 |     86.006 |           1 |      5 |      6 |     99.35 |    100.37
  3 |           1620 |     84.558 |           3 |      0 |      3 |     99.27 |     99.98
  4 |           9750 |     84.126 |           1 |      0 |      1 |     99.85 |    100.30
  5 |          10807 |     84.355 |           3 |      3 |      6 |     99.37 |    100.24
  6 |           7862 |     85.287 |          10 |      2 |     12 |     98.91 |    100.59
  7 |          13550 |     86.055 |           5 |      3 |      8 |     99.87 |    100.99
  8 |            494 |     84.393 |           1 |      0 |      1 |     99.76 |    100.08
  9 |           2496 |     84.186 |           4 |      0 |      4 |     99.45 |    100.20
 10 |          16882 |     85.178 |           0 |     11 |     11 |     98.72 |    100.40
 11 |           7218 |     84.366 |           1 |      1 |      2 |    100.00 |    100.54
 12 |           3780 |     86.960 |           3 |      2 |      5 |     99.51 |    100.38
 13 |          15065 |     84.708 |           2 |      3 |      5 |     99.77 |    101.17
 14 |          10899 |     86.440 |           3 |      2 |      5 |     99.08 |    100.12
 16 |          14302 |     85.947 |           1 |      0 |      1 |     99.82 |    100.34
 18 |           5662 |     85.276 |           3 |      4 |      7 |     98.92 |    100.14
 19 |           2286 |     84.938 |           7 |      2 |      9 |     98.26 |     99.96
 20 |           3847 |     84.361 |           9 |      3 |     12 |     98.80 |    100.01
 22 |          21623 |     85.903 |           2 |     14 |     16 |     99.90 |    102.22
 23 |            238 |     85.076 |           2 |      0 |      2 |     99.28 |    100.07
 24 |           5112 |     84.672 |           3 |      3 |      6 |     99.98 |    101.05
 25 |           5776 |     85.368 |           7 |      3 |     10 |     99.09 |    100.80
 26 |          10934 |     84.233 |           0 |      2 |      2 |     99.95 |    100.33
 28 |          21215 |     84.302 |           0 |      4 |      4 |     99.29 |    100.13
 30 |          21806 |     84.416 |           1 |      5 |      6 |     99.54 |    100.78
 31 |          10033 |     85.182 |           5 |      1 |      6 |     99.83 |    101.08
 32 |           7555 |     85.548 |           0 |      0 |      0 |     99.94 |    100.24
 34 |          10380 |     84.875 |           2 |      1 |      3 |     99.72 |    100.51
 35 |           8789 |     84.495 |           3 |      0 |      3 |     99.74 |    100.37
 37 |           4946 |     84.817 |           1 |      2 |      3 |     99.76 |    100.32
 38 |           5882 |     84.343 |           5 |      3 |      8 |     98.50 |    100.08
 39 |           8265 |     84.176 |           1 |      1 |      2 |     99.43 |    100.05
 40 |           3027 |     84.391 |           7 |      0 |      7 |     99.76 |    100.87
 41 |           5562 |     84.366 |           3 |      1 |      4 |     99.32 |    100.26
 43 |           6933 |     84.804 |           3 |      4 |      7 |     98.86 |    100.58
 44 |           4990 |     86.167 |           3 |      1 |      4 |     99.72 |    100.39
 45 |          13835 |     84.640 |           2 |      1 |      3 |    100.01 |    100.63
 46 |           5447 |     86.206 |           2 |      0 |      2 |     99.63 |    100.20
 47 |           5273 |     84.316 |           2 |      1 |      3 |     99.07 |    100.02
 48 |          21584 |     85.489 |           0 |      3 |      3 |     99.83 |    100.48
 50 |           2618 |     86.128 |           7 |      2 |      9 |     99.92 |    102.13
 51 |           2547 |     85.893 |           2 |      0 |      2 |     99.85 |    100.52
 53 |          16906 |     84.520 |           1 |      3 |      4 |     99.91 |    100.67
 54 |          12017 |     84.629 |           2 |      4 |      6 |     99.96 |    100.92
 55 |           4961 |     84.761 |           1 |      1 |      2 |     99.97 |    100.34
 57 |           6672 |     85.272 |           4 |      2 |      6 |     99.41 |    100.08
 58 |            167 |     85.615 |          12 |      0 |     12 |     99.33 |    100.29
 59 |          14035 |     85.565 |           0 |      2 |      2 |     99.78 |    100.42
 60 |          10885 |     84.206 |           1 |      1 |      2 |     99.79 |    100.26
 61 |           5524 |     85.769 |          14 |      6 |     20 |     99.71 |    100.92
 62 |           5650 |     84.389 |           3 |      0 |      3 |     99.14 |    100.26
 63 |          14226 |     86.011 |           2 |      3 |      5 |     99.95 |    101.06
 64 |           4850 |     86.279 |           1 |      2 |      3 |     99.63 |    100.18
 67 |           1418 |     87.167 |           3 |      0 |      3 |     99.80 |    100.86
 68 |          18780 |     84.380 |           1 |      8 |      9 |     99.89 |    100.76
 69 |           7075 |     85.109 |           2 |      3 |      5 |     99.92 |    100.95
 70 |          20661 |     84.241 |           0 |      4 |      4 |     99.71 |    100.24
 71 |          20530 |     86.085 |           0 |      1 |      1 |     99.90 |    100.48
 72 |          21574 |     84.975 |           0 |     10 |     10 |     98.74 |    100.81
 74 |          21563 |     86.966 |           0 |      4 |      4 |     99.80 |    100.42
 75 |          13870 |     84.922 |           1 |      1 |      2 |     99.66 |    100.24
 76 |          12913 |     84.443 |           1 |      3 |      4 |     99.73 |    101.09
 77 |           4478 |     84.642 |           4 |      3 |      7 |     99.79 |    101.22
 78 |           8806 |     84.793 |           4 |      3 |      7 |     99.23 |    100.41
 80 |           3755 |     84.410 |           1 |      1 |      2 |     99.87 |    100.23
 81 |           3191 |     86.408 |           1 |      0 |      1 |     99.52 |    100.04
 82 |            635 |     84.552 |           6 |      1 |      7 |     99.59 |    100.54
 83 |           7825 |     86.154 |           2 |      2 |      4 |     99.92 |    100.53
 85 |          22070 |     84.758 |           0 |      7 |      7 |     99.42 |    100.95
 86 |          15941 |     84.238 |           1 |      2 |      3 |     99.23 |    100.09
 87 |           6580 |     84.492 |           1 |      1 |      2 |     99.76 |    100.38
 88 |           4281 |     85.264 |           1 |      2 |      3 |     99.78 |    101.02
 89 |          20771 |     86.347 |           1 |      3 |      4 |     99.45 |    100.56
 90 |          20693 |     84.136 |           0 |      6 |      6 |     99.60 |    100.94
 91 |          17075 |     84.200 |           1 |      6 |      7 |     99.19 |    100.42
 92 |           9186 |     86.271 |           3 |      3 |      6 |     99.83 |    101.17
 93 |           2066 |     84.962 |           1 |      2 |      3 |     99.84 |    100.37
 94 |          14470 |     85.618 |           1 |      1 |      2 |     99.76 |    100.44
 95 |           4485 |     85.439 |           5 |      2 |      7 |     99.59 |    100.35
