====================================================================================================
PB9_ADX FLUCTUATION (≥ 0.3) SUMMARY BY ADX CONDITION
====================================================================================================

Data Directory: /data/quant14/EBY
Total Days Configured: 279
Processed Valid Days: 279
ADX Window: 14 | Threshold: 84.1
Price Jump Threshold: 0.3

====================================================================================================
SECTION A — ADX > Threshold (YES)
====================================================================================================
Number of Days: 222

Day | ADX Max | ADX>Thresh | Considerable | Missed | Price Min | Price Max
----|---------|------------|--------------|--------|-----------|----------
  0 |   85.782 |        Yes |            7 |      0 |     99.50 |    100.47
  2 |   88.082 |        Yes |            6 |      0 |     99.35 |    100.37
  3 |   86.061 |        Yes |            3 |      0 |     99.27 |     99.98
  4 |   84.126 |        Yes |            1 |      0 |     99.85 |    100.30
  5 |   91.720 |        Yes |            6 |      0 |     99.37 |    100.24
  6 |  100.000 |        Yes |           12 |      0 |     98.91 |    100.59
  7 |   87.841 |        Yes |            8 |      0 |     99.87 |    100.99
  8 |  100.000 |        Yes |            1 |      0 |     99.76 |    100.08
  9 |   84.843 |        Yes |            4 |      0 |     99.45 |    100.20
 10 |   99.152 |        Yes |           11 |      0 |     98.72 |    100.40
 11 |   88.101 |        Yes |            2 |      0 |    100.00 |    100.54
 12 |   92.902 |        Yes |            5 |      0 |     99.51 |    100.38
 13 |   89.143 |        Yes |            5 |      0 |     99.77 |    101.17
 14 |   87.293 |        Yes |            5 |      0 |     99.08 |    100.12
 16 |   86.516 |        Yes |            1 |      0 |     99.82 |    100.34
 18 |   89.711 |        Yes |            7 |      0 |     98.92 |    100.14
 19 |   93.779 |        Yes |            9 |      0 |     98.26 |     99.96
 20 |   89.881 |        Yes |           12 |      0 |     98.80 |    100.01
 22 |   96.144 |        Yes |           16 |      0 |     99.90 |    102.22
 23 |   96.138 |        Yes |            2 |      0 |     99.28 |    100.07
 24 |   85.732 |        Yes |            6 |      0 |     99.98 |    101.05
 25 |   85.368 |        Yes |           10 |      0 |     99.09 |    100.80
 26 |   86.107 |        Yes |            2 |      0 |     99.95 |    100.33
 28 |   88.414 |        Yes |            4 |      0 |     99.29 |    100.13
 30 |   86.778 |        Yes |            6 |      0 |     99.54 |    100.78
 31 |   98.571 |        Yes |            6 |      0 |     99.83 |    101.08
 32 |   87.816 |        Yes |            0 |      0 |     99.94 |    100.24
 34 |   86.302 |        Yes |            3 |      0 |     99.72 |    100.51
 35 |   84.620 |        Yes |            3 |      0 |     99.74 |    100.37
 37 |   96.823 |        Yes |            3 |      0 |     99.76 |    100.32
 38 |   86.459 |        Yes |            8 |      0 |     98.50 |    100.08
 39 |   92.986 |        Yes |            2 |      0 |     99.43 |    100.05
 40 |   90.653 |        Yes |            7 |      0 |     99.76 |    100.87
 41 |   87.624 |        Yes |            4 |      0 |     99.32 |    100.26
 43 |   87.072 |        Yes |            7 |      0 |     98.86 |    100.58
 44 |   89.335 |        Yes |            4 |      0 |     99.72 |    100.39
 45 |   88.143 |        Yes |            3 |      0 |    100.01 |    100.63
 46 |   94.806 |        Yes |            2 |      0 |     99.63 |    100.20
 47 |   91.131 |        Yes |            3 |      0 |     99.07 |    100.02
 48 |   93.742 |        Yes |            3 |      0 |     99.83 |    100.48
 50 |   95.456 |        Yes |            9 |      0 |     99.92 |    102.13
 51 |   92.721 |        Yes |            2 |      0 |     99.85 |    100.52
 53 |   89.924 |        Yes |            4 |      0 |     99.91 |    100.67
 54 |   89.422 |        Yes |            6 |      0 |     99.96 |    100.92
 55 |   90.509 |        Yes |            2 |      0 |     99.97 |    100.34
 57 |   92.883 |        Yes |            6 |      0 |     99.41 |    100.08
 58 |   85.615 |        Yes |           12 |      0 |     99.33 |    100.29
 59 |   87.502 |        Yes |            2 |      0 |     99.78 |    100.42
 60 |   86.431 |        Yes |            2 |      0 |     99.79 |    100.26
 61 |   91.274 |        Yes |           20 |      0 |     99.71 |    100.92
 62 |   86.515 |        Yes |            3 |      0 |     99.14 |    100.26
 63 |   89.219 |        Yes |            5 |      0 |     99.95 |    101.06
 64 |  100.000 |        Yes |            3 |      0 |     99.63 |    100.18
 67 |   92.695 |        Yes |            3 |      0 |     99.80 |    100.86
 68 |   93.086 |        Yes |            9 |      0 |     99.89 |    100.76
 69 |  100.000 |        Yes |            5 |      0 |     99.92 |    100.95
 70 |   85.401 |        Yes |            4 |      0 |     99.71 |    100.24
 71 |   90.872 |        Yes |            1 |      0 |     99.90 |    100.48
 72 |   94.402 |        Yes |           10 |      0 |     98.74 |    100.81
 74 |   97.224 |        Yes |            4 |      0 |     99.80 |    100.42
 75 |   94.776 |        Yes |            2 |      0 |     99.66 |    100.24
