===================================================================================================================
PB9_T1 — ATR + VOLATILITY + PRICE FLUCTUATION (≥ 0.3) SUMMARY (PARALLEL 25 CPU)
===================================================================================================================

Data Directory: /data/quant14/EBY
ATR Window: 300 | ATR Threshold: 0.01
SMA Window: 300 | VOL Threshold: 0.06
Price Jump Threshold: 0.3
Days Processed: 279 / 279

===================================================================================================================
SECTION A — Days meeting all 3 conditions: ATR > 0.01, Vol > 0.06, Price Δ ≥ 0.3
===================================================================================================================
Day | ATR @Index | ATR Value | Vol @Index | Vol Value | Price Jumps | Price Range | PB9 Min | PB9 Max
----|-------------|------------|-------------|------------|--------------|--------------|----------|----------
  1 |           1 |    0.01147 |         443 |    0.06009 |            7 |       1.1101 |    99.67 |   100.78
 25 |           1 |    0.01092 |         658 |    0.06015 |           10 |       1.7122 |    99.09 |   100.80
 13 |           0 |    0.01629 |         299 |    0.06158 |            5 |       1.3950 |    99.77 |   101.17
 10 |           5 |    0.01121 |        1094 |    0.06014 |           11 |       1.6780 |    98.72 |   100.40
 15 |           0 |    0.01661 |         937 |    0.06013 |            3 |       0.9090 |   100.00 |   100.91
 22 |        1698 |    0.01001 |         386 |    0.06073 |           16 |       2.3192 |    99.90 |   102.22
 30 |           0 |    0.01050 |        1778 |    0.06014 |            6 |       1.2423 |    99.54 |   100.78
 28 |           0 |    0.01052 |        1742 |    0.06017 |            4 |       0.8339 |    99.29 |   100.13
 17 |          11 |    0.01025 |         299 |    0.06193 |            2 |       0.5441 |    99.70 |   100.25
 29 |           0 |    0.01455 |        1620 |    0.06035 |            2 |       0.7160 |    99.45 |   100.17
 31 |           1 |    0.01106 |         588 |    0.06011 |            6 |       1.2535 |    99.83 |   101.08
 12 |           0 |    0.01301 |         517 |    0.06020 |            5 |       0.8751 |    99.51 |   100.38
 34 |           0 |    0.01567 |         299 |    0.06658 |            3 |       0.7878 |    99.72 |   100.51
  7 |           0 |    0.01016 |         431 |    0.06004 |           10 |       1.1179 |    99.87 |   100.99
 19 |           0 |    0.04428 |         299 |    0.06662 |            9 |       1.7415 |    98.26 |   100.00
 37 |           0 |    0.02275 |         749 |    0.06009 |            3 |       0.5534 |    99.76 |   100.32
 18 |           3 |    0.01019 |         299 |    0.07563 |            7 |       1.2187 |    98.92 |   100.14
 11 |           0 |    0.01594 |        5359 |    0.06043 |            2 |       0.5442 |   100.00 |   100.54
 39 |           1 |    0.01118 |       17466 |    0.06012 |            2 |       0.6244 |    99.43 |   100.05
